Year,Sort order,Country,Notes,Code,Type of data (a),Immigrants
2000,2000071,Nigeria,,566,C R,487882
2000,2000072,St. Helena,4,654,B,405
2000,2000073,Senegal,,686,B R,231901
2000,2000074,Sierra Leone,,694,B R,98241
2000,2000075,Togo,,768,C R,137891
2000,2000076,ASIA,,935,,49198332
2000,2000077,Central Asia,,5500,,5183872
2000,2000078,Kazakhstan,,398,B,2871300
2000,2000079,Kyrgyzstan,,417,B,389558
2000,2000080,Tajikistan,,762,B,299266
2000,2000081,Turkmenistan,,795,B,218498
2000,2000082,Uzbekistan,,860,B,1405250
2000,2000083,Eastern Asia,,906,,5393081
2000,2000084,China,5,156,C,508034
2000,2000085,Hong Kong,6,344,B,2669122
2000,2000086,Macao,7,446,B,240791
2000,2000087,North Korea,,408,I,36183
2000,2000088,Japan,,392,C,1686567
2000,2000089,Mongolia,,496,C,8206
2000,2000090,South Korea,,410,C,244178
2000,2000091,Southern Asia,,5501,,15278020
2000,2000092,Afghanistan,,4,B,75917
2000,2000093,Bangladesh,,50,B R,987853
2000,2000094,Bhutan,,64,B,32137
