Country,Country Code,Indicator Name,Indicator Code,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Caribbean small states,CSS,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,69.54564377,69.59994429,69.68632934,69.69160508,69.73590347,69.78507577,69.84222589,69.97797487,69.99144565,70.08838497,70.20481065,70.34451498,70.57733424,70.69096869,70.89277722,71.10984222,71.33804014,71.57113456,71.80228804,72.02570117,72.23522802,72.42698876,72.60250775,72.76324049,72.91101405,73.04810113,,
Cuba,CUB,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,74.64380488,74.70056098,74.80329268,74.95892683,75.16397561,75.409,75.67563415,75.94197561,76.19307317,76.42587805,76.64480488,76.86521951,77.10246341,77.36395122,77.64468293,77.93214634,78.20595122,78.44970732,78.65153659,78.8115122,78.93665854,79.04053659,79.14212195,79.25634146,79.38970732,79.54370732,,
Curacao,CUW,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,,,,,,,,,,,,,,,,,74.7097561,75.36341463,75.3097561,76.15609756,,77.47317073,,,77.82439024,,,
Cayman Islands,CYM,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cyprus,CYP,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,76.51395122,76.67139024,76.82631707,76.97826829,77.12770732,77.27465854,77.41909756,77.56102439,77.70092683,77.83780488,77.97168293,78.10056098,78.22395122,78.34534146,78.4657561,78.59012195,78.72336585,78.8695122,79.02904878,79.202,79.38495122,79.57302439,79.76178049,79.94478049,80.12204878,80.29104878,,
Czech Republic,CZE,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,71.38390244,71.89829268,72.27170732,72.76780488,72.97268293,73.07487805,73.71463415,73.82487805,74.51463415,74.66829268,74.96829268,75.17317073,75.22195122,75.17073171,75.72195122,75.92439024,76.52439024,76.72439024,76.97560976,77.07804878,77.42439024,77.87317073,78.07560976,78.17560976,78.82439024,79.47317073,,
Germany,DEU,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,75.2277561,75.3195122,75.8195122,75.87073171,76.27073171,76.42195122,76.67317073,77.07317073,77.47560976,77.72682927,77.92682927,78.32926829,78.22926829,78.3804878,78.6804878,78.93170732,79.13170732,79.53414634,79.73658537,79.83658537,79.98780488,80.43658537,80.53902439,80.4902439,81.0902439,81.0902439,,
Djibouti,DJI,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,56.66317073,56.81614634,56.92958537,57.00358537,57.04365854,57.05341463,57.03841463,57.01119512,56.98773171,56.98146341,57.01034146,57.0882439,57.22056098,57.41121951,57.66363415,57.98429268,58.37768293,58.83187805,59.32841463,59.84885366,60.36673171,60.85458537,61.29546341,61.67736585,61.99431707,62.24982927,,
Dominica,DMA,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,,,73.95121951,,,,,75.95121951,,,,,76.59756098,,,,,,,,,,,,,,,
Denmark,DNK,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,74.80536585,75.15780488,75.19414634,75.11682927,75.37512195,75.21268293,75.59146341,75.94512195,76.13902439,76.34146341,76.59268293,76.79268293,76.89512195,77.14390244,77.49268293,77.84390244,78.09512195,78.19512195,78.44634146,78.59756098,79.1,79.8,80.05121951,80.3,80.7,81.1,,
